code,designation,prix,type_article,nature,classe,ville
3E _9426,Histoire : Planète Cameroun 3EME (hatier),3700,manuel,Homologué,3e CHINOIS,
3E _5419,Informatique : INFORMATIQUE 3ème (ECLOSION),4000,manuel,Homologué,3e CHINOIS,
3E _7358,LA MARMITE DE KOKA MBALA (CLE),1700,manuel,Homologué,3e CHINOIS,
3E _4976,Langue Française : Français 3ème (AFRICA EDUCATION),5000,manuel,Homologué,3e CHINOIS,
3E _4046,Latin : LATINISTAS 4/3 EME (ECLOSION),5000,manuel,Homologué,3e CHINOIS,
3E _299,Mathématiques : MATHEMATIQUES 3EME (D AND L),4500,manuel,Homologué,3e CHINOIS,
3E _7185,Petites Gouttes De Chant Pour Créer L’homme (CLE),2000,manuel,Homologué,3e CHINOIS,
3E _1117,"Physique, Chimie, Technologie 3EME (WISDOM)",4500,manuel,Homologué,3e CHINOIS,
3E _7726,Sciences: SVTEHB 3EME (AFRICA EDUCATION),5000,manuel,Homologué,3e CHINOIS,
3E _5900,VILLE CRUELLE (PRESENCE AFRIC),2500,manuel,Homologué,3e CHINOIS,
3E _1529,Anglais : L’EVEIL EN ANGLAIS (NMI),4500,manuel,Homologué,3e ESP,
3E _8941,Education À La Citoyenneté 4ème Et 3ème (mondoux),3500,manuel,Homologué,3e ESP,
3E _9179,Espagnole : NUEVA DIDACTICA DEL ESPANOL 2 (HABIBI),5500,manuel,Homologué,3e ESP,
3E _8177,Grec : Je Découvre La Langue Grecque 4/5EME(ECLOSION),5000,manuel,Homologué,3e ESP,
3E _2314,Géographie : Planète Cameroun 3eme(edicef),4300,manuel,Homologué,3e ESP,
3E _9426,Histoire : Planète Cameroun 3EME (hatier),3700,manuel,Homologué,3e ESP,
3E _5419,Informatique : INFORMATIQUE 3ème (ECLOSION),4000,manuel,Homologué,3e ESP,
3E _7358,LA MARMITE DE KOKA MBALA (CLE),1700,manuel,Homologué,3e ESP,
3E _4976,Langue Française : Français 3ème (AFRICA EDUCATION),5000,manuel,Homologué,3e ESP,
3E _4046,Latin : LATINISTAS 4/3 EME (ECLOSION),5000,manuel,Homologué,3e ESP,
3E _299,Mathématiques : MATHEMATIQUES 3EME (D AND L),4500,manuel,Homologué,3e ESP,
3E _7185,Petites Gouttes De Chant Pour Créer L’homme (CLE),2000,manuel,Homologué,3e ESP,
3E _1117,"Physique, Chimie, Technologie 3EME (WISDOM)",4500,manuel,Homologué,3e ESP,
3E _7726,Sciences: SVTEHB 3EME (AFRICA EDUCATION),5000,manuel,Homologué,3e ESP,
3E _5900,VILLE CRUELLE (PRESENCE AFRIC),2500,manuel,Homologué,3e ESP,
3E _1529,Anglais : L’EVEIL EN ANGLAIS (NMI),4500,manuel,Homologué,3e ITALIEN,
3E _8941,Education À La Citoyenneté 4ème Et 3ème (mondoux),3500,manuel,Homologué,3e ITALIEN,
3E _8177,Grec : Je Découvre La Langue Grecque 4/5EME(ECLOSION),5000,manuel,Homologué,3e ITALIEN,
3E _2314,Géographie : Planète Cameroun 3eme(edicef),4300,manuel,Homologué,3e ITALIEN,
3E _9426,Histoire : Planète Cameroun 3EME (hatier),3700,manuel,Homologué,3e ITALIEN,
3E _5419,Informatique : INFORMATIQUE 3ème (ECLOSION),4000,manuel,Homologué,3e ITALIEN,
3E _3990,Italien : DIDACTICA DEL ITALIANO (LHARMATTAN),3500,manuel,Homologué,3e ITALIEN,
3E _7358,LA MARMITE DE KOKA MBALA (CLE),1700,manuel,Homologué,3e ITALIEN,
3E _4976,Langue Française : Français 3ème (AFRICA EDUCATION),5000,manuel,Homologué,3e ITALIEN,
3E _4046,Latin : LATINISTAS 4/3 EME (ECLOSION),5000,manuel,Homologué,3e ITALIEN,
3E _299,Mathématiques : MATHEMATIQUES 3EME (D AND L),4500,manuel,Homologué,3e ITALIEN,
3E _7185,Petites Gouttes De Chant Pour Créer L’homme (CLE),2000,manuel,Homologué,3e ITALIEN,
3E _1117,"Physique, Chimie, Technologie 3EME (WISDOM)",4500,manuel,Homologué,3e ITALIEN,
3E _7726,Sciences: SVTEHB 3EME (AFRICA EDUCATION),5000,manuel,Homologué,3e ITALIEN,
3E _5900,VILLE CRUELLE (PRESENCE AFRIC),2500,manuel,Homologué,3e ITALIEN,
2DE_4884,Allemand : IHR Und WIR Plus 3 (HUEBER),6000,manuel,Homologué,2de A4 & SES (ALL),
2DE_7433,Anglais : INTERACTIONS IN ENGLISH (CAMBRIDGE),5000,manuel,Homologué,2de A4 & SES (ALL),
2DE_9441,Education À La Citoyenneté : EDUCATION A LA CITOYENNETE ET A LA MORALE (MONDOUX),3000,manuel,Homologué,2de A4 & SES (ALL),
2DE_6726,HISTOIRE : Le Monde. De La Préhistoire Au Moyen-âge (CLE),4000,manuel,Homologué,2de A4 & SES (ALL),
2DE_1897,Informatique : L’excellence En Informatique (NMI),3100,manuel,Homologué,2de A4 & SES (ALL),
2DE_3762,Langue Française : Langue Et Méthode Au 2nd Cycle (afric’educ),5000,manuel,Homologué,2de A4 & SES (ALL),
2DE_7745,Les Tribus De Capitoline (CLE),3000,manuel,Homologué,2de A4 & SES (ALL),
2DE_7670,Mathématiques : L’excellence En Mathématiques (NMI),4500,manuel,Homologué,2de A4 & SES (ALL),
2DE_6790,Philosophie : L’excellence En Philosophie (NMI),4000,manuel,Homologué,2de A4 & SES (ALL),
2DE_7191,Poèmes Sauvages Éclairés Au Feu De Brousse (les Classiques Iv),1700,manuel,Homologué,2de A4 & SES (ALL),
2DE_9326,Sciences : Sciences (CLE),3500,manuel,Homologué,2de A4 & SES (ALL),
2DE_4680,TARTUFFE (BELLES LETTRES),2000,manuel,Homologué,2de A4 & SES (ALL),
2DE_3781,Anglais: INTERACTIONS IN ENGLISH (CAMBRIDGE),5000,manuel,Homologué,2de A4 & SES (CHINOIS),
2DE_8307,Chinois : BONJOUR CAMEROUN 3 (D/L),3500,manuel,Homologué,2de A4 & SES (CHINOIS),
2DE_9441,Education À La Citoyenneté : EDUCATION A LA CITOYENNETE ET A LA MORALE (MONDOUX),3000,manuel,Homologué,2de A4 & SES (CHINOIS),
2DE_6726,HISTOIRE : Le Monde. De La Préhistoire Au Moyen-âge (CLE),4000,manuel,Homologué,2de A4 & SES (CHINOIS),
2DE_1897,Informatique : L’excellence En Informatique (NMI),3100,manuel,Homologué,2de A4 & SES (CHINOIS),
2DE_3762,Langue Française : Langue Et Méthode Au 2nd Cycle (afric’educ),5000,manuel,Homologué,2de A4 & SES (CHINOIS),
2DE_7745,Les Tribus De Capitoline (CLE),3000,manuel,Homologué,2de A4 & SES (CHINOIS),
2DE_7670,Mathématiques : L’excellence En Mathématiques (NMI),4500,manuel,Homologué,2de A4 & SES (CHINOIS),
2DE_6790,Philosophie : L’excellence En Philosophie (NMI),4000,manuel,Homologué,2de A4 & SES (CHINOIS),
2DE_7191,Poèmes Sauvages Éclairés Au Feu De Brousse (les Classiques Iv),1700,manuel,Homologué,2de A4 & SES (CHINOIS),
2DE_9326,Sciences : Sciences (CLE),3500,manuel,Homologué,2de A4 & SES (CHINOIS),
2DE_4680,TARTUFFE (BELLES LETTRES),2000,manuel,Homologué,2de A4 & SES (CHINOIS),
2DE_8731,Anglais: INTERACTIONS IN ENGLISH (CAMBRIDGE,5000,manuel,Homologué,2de A4 & SES (ESP),
2DE_9441,Education À La Citoyenneté : EDUCATION A LA CITOYENNETE ET A LA MORALE (MONDOUX),3000,manuel,Homologué,2de A4 & SES (ESP),
2DE_9323,Espagnole : NUEVA DIDACTICA DEL ESPANOL III (HABIBI),4900,manuel,Homologué,2de A4 & SES (ESP),
2DE_6726,HISTOIRE : Le Monde. De La Préhistoire Au Moyen-âge (CLE),4000,manuel,Homologué,2de A4 & SES (ESP),
2DE_1897,Informatique : L’excellence En Informatique (NMI),3100,manuel,Homologué,2de A4 & SES (ESP),
2DE_3762,Langue Française : Langue Et Méthode Au 2nd Cycle (afric’educ),5000,manuel,Homologué,2de A4 & SES (ESP),
2DE_7745,Les Tribus De Capitoline (CLE),3000,manuel,Homologué,2de A4 & SES (ESP),
2DE_7670,Mathématiques : L’excellence En Mathématiques (NMI),4500,manuel,Homologué,2de A4 & SES (ESP),
2DE_6790,Philosophie : L’excellence En Philosophie (NMI),4000,manuel,Homologué,2de A4 & SES (ESP),
2DE_7191,Poèmes Sauvages Éclairés Au Feu De Brousse (les Classiques Iv),1700,manuel,Homologué,2de A4 & SES (ESP),
2DE_9326,Sciences : Sciences (CLE),3500,manuel,Homologué,2de A4 & SES (ESP),
2DE_7459,TARTUFFE (BELLES LETTRES,2000,manuel,Homologué,2de A4 & SES (ESP),
2DE_3781,Anglais: INTERACTIONS IN ENGLISH (CAMBRIDGE),5000,manuel,Homologué,2de AC,
2DE_9441,Education À La Citoyenneté : EDUCATION A LA CITOYENNETE ET A LA MORALE (MONDOUX),3000,manuel,Homologué,2de AC,
2DE_6726,HISTOIRE : Le Monde. De La Préhistoire Au Moyen-âge (CLE),4000,manuel,Homologué,2de AC,
2DE_1414,Initiation Aux Arts Cinématographiques (terre Africaine),5000,manuel,Homologué,2de AC,
2DE_3762,Langue Française : Langue Et Méthode Au 2nd Cycle (afric’educ),5000,manuel,Homologué,2de AC,
2DE_7745,Les Tribus De Capitoline (CLE),3000,manuel,Homologué,2de AC,
2DE_6191,MATHEMATIQUES : L’EXCELLENCE EN MATHEMATIQUES (NMI),5500,manuel,Homologué,2de AC,
