CLASSE;LIVRES;PRIX
1re A4 & SES (ALL);PHILOSOPHIE. 1ERES LITTERAIRES (Mondoux);4 500
1re A4 & SES (ALL);Anglais: INTERACTIONS IN ENGLISH (CAMBRIDGE);4 500
1re A4 & SES (ALL);Education à la citoyenneté 1ère S (Mondoux);3 000
1re A4 & SES (ALL);Allemand: Deutsch in Africa (ABID);5 000
1re A4 & SES (ALL);Mathématiques : Majors en Mathématiques (ASVA);3 500
1re A4 & SES (ALL);Sciences : Sciences (CLE);5 000
1re A4 & SES (ALL);"Informatique : A la conquête de l’informatique, 1ères 
ENSG et ENSG Technique (R.LUSTRAL)";3 400
1re A4 & SES (ALL);HISTOIRE : le Monde. De la fin du XVIe siècle à 1939 (CLE);4 500
1re A4 & SES (ESP);Langue Française : Langue et Méthode au 2nd cycle  (Afric’Educ);5 000
1re A4 & SES (ESP);AU CŒUR DES TENEBRES (ECLOSION);1 900
1re A4 & SES (ESP);Balafon (CLE);1 800
1re A4 & SES (ESP);LE LION ET LA PERLE(CLE);1 700
1re A4 & SES (ESP);PHILOSOPHIE. 1ERES LITTERAIRES (Mondoux);4 500
1re A4 & SES (ESP);Anglais: INTERACTIONS IN ENGLISH (CAMBRIDGE);4 500
1re A4 & SES (ESP);Education à la citoyenneté 1ère S (Mondoux);3 000
1re A4 & SES (ESP);Espagnole : NUEVA DIDACTICA DEL ESPANOL IV  (HABIBI);5 900
1re A4 & SES (ESP);Mathématiques : Majors en Mathématiques (ASVA);3 500
1re A4 & SES (ESP);Sciences : Sciences (CLE);5 000
1re A4 & SES (ESP);Informatique : A la conquête de l’informatique, 1ères ENSG et ENSG Technique (R.LUSTRAL);3 400
1re A4 & SES (ESP);HISTOIRE : le Monde. De la fin du XVIe siècle à 1939 (CLE);4 500
1re A4 & SES (ESP);Langue Française : Langue et Méthode au 2nd cycle  (Afric’Educ);5 000
1re A4 & SES (ALL);AU CŒUR DES TENEBRES (ECLOSION);1 900
1re A4 & SES (ALL);Balafon (CLE);1 800
1re A4 & SES (ALL);LE LION ET LA PERLE(CLE);1 700
1re A4 & SES (ALL);PHILOSOPHIE. 1ERES LITTERAIRES (Mondoux);4 500
1re A4 & SES (ALL);Anglais: INTERACTIONS IN ENGLISH (CAMBRIDGE);4 500
1re A4 & SES (CHINOIS);Education à la citoyenneté 1ère S (Mondoux);3 000
1re A4 & SES (CHINOIS);Chinois : BONJOUR CAMEROUN 4 (D/L);3 500
1re A4 & SES (CHINOIS);Mathématiques : Majors en Mathématiques (ASVA);3 500
1re A4 & SES (CHINOIS);Sciences : Sciences (CLE);5 000
1re A4 & SES (CHINOIS);Informatique : A la conquête de l’informatique, 1ères ENSG et ENSG Technique (R. LUSTRAL);3 400
1re A4 & SES (CHINOIS);HISTOIRE : le Monde. De la fin du XVIe siècle à 1939 (CLE);4 500
1re C & E;Langue Française : Langue et Méthode au 2nd cycle  (Afric’Educ);5 000
1re C & E;AU CŒUR DES TENEBRES (ECLOSION);1 900
1re C & E;Balafon (CLE);1 800
1re C & E;LE LION ET LA PERLE(CLE);1 700
1re C & E;PHILOSOPHIE. 1ERE SCIENTIFIQUE (Mondoux);3 000
1re C & E;Anglais: INTERACTIONS IN ENGLISH (CAMBRIDGE);4 500
1re C & E;Education à la citoyenneté 1ère S (Mondoux);3 000
1re C & E;Mathématiques : L’Excellence en Mathématiques (NMI);6 500
1re C & E;SVTEEHB : L’Excellence en SVTEEHB 1ère C/TI/E (NMI);6 500
1re C & E;Physique : L’Excellence en Physique 1ère C et D (NMI);5 000
1re C & E;Chimie : L’Excellence en Chimie (NMI);4 500
1re C & E;Informatique : A la conquête de l’Informatique (R. LUSTRAL);3 600
1re C & E;HISTOIRE : le Monde. De la fin du XVIe siècle à 1939 (CLE);4 500
1re D & TI;Langue Française : Langue et Méthode au 2nd cycle  (Afric’Educ);5 000
1re D & TI;AU CŒUR DES TENEBRES (ECLOSION);1 900
1re D & TI;Balafon (CLE);1 800
1re D & TI;LE LION ET LA PERLE(CLE);1 700
1re D & TI;PHILOSOPHIE. 1ERES SCIENTIFIQUE (Mondoux);3 000
1re D & TI;Anglais: INTERACTIONS IN ENGLISH (CAMBRIDGE);4 500
1re D & TI;Education à la citoyenneté 1ère S (Mondoux);3 000
1re D & TI;Mathématiques : Mathématiques 1ère D et TI (CEPER);5 500
1re D & TI;SVTEEHB : SVTEEHB (CLE);6 500
1re D & TI;Chimie : L’Excellence en Chimie (NMI);4 500
1re D & TI;Physique : L’Excellence en Physique 1ère C et D (NMI);5 000
1re D & TI;Informatique : A la conquête de l’Informatique (R. LUSTRAL);3 600
1re D & TI;HISTOIRE : le Monde. De la fin du XVIe siècle à 1939 (CLE);4 500
Tle A4 (ALL);Langue Française : Langue et Méthode au 2nd cycle (Afric’Educ);5 000
Tle A4 (ALL);STANCES ET POEMES SUIVI DE LES EPREUVES (ECLOSION);1 900
Tle A4 (ALL);LE VIEUX NEGRE ET LA MEDAILLE (EDICEF);2 500
Tle A4 (ALL);Ngum a Jemea. La foi inébranlable de Rudolf Dualla Manga Bell (CICD);3 000
Tle A4 (ALL);Anglais: INTERACTION IN ENGLISH (CAMBRIDGE);5 000
Tle A4 (ALL);Education à la Citoyenneté : Emergeons en éducation à la citoyenneté (MONDOUX);3 900
